Sample, Data[Hex]
0, 0
2, 10
3, 11
5, 1
6, 0
8, 10
11, 0
13, 4
14, 14
16, 1A
17, A
21, 1A
22, 1F
24, F
27, 1F
30, F
31, 7
33, 17
35, 1F
36, F
39, 1F
42, F
46, 1F
49, F
52, 1F
55, F
57, 7
58, 17
60, 1F
61, F
64, 1F
67, F
71, 1F
74, F
77, 1F
80, F
82, 7
83, 17
85, 1F
86, F
90, 1F
93, F
96, 1F
99, F
102, 1F
105, F
107, 7
108, 17
110, 1F
111, F
115, 1F
118, F
121, 1F
124, F
127, 1F
130, F
132, 7
133, 17
135, 1F
137, F
140, 1F
143, F
146, 1F
149, F
152, 1F
155, F
157, 7
159, 17
160, 1F
162, F
165, 1F
168, F
171, 1F
174, F
177, 1F
180, F
182, 7
184, 17
185, 1F
187, F
190, 1F
193, F
196, 1F
199, F
202, 1F
206, F
207, 7
209, 17
210, 1F
212, F
215, 1F
218, F
221, 1F
224, F
228, 1F
231, F
232, 7
234, 17
235, 1F
237, F
240, 1F
243, F
246, 1F
249, F
253, 1F
256, F
257, 7
259, 17
260, 1F
262, F
265, 1F
268, F
271, 1F
275, F
278, 1F
281, F
282, 7
284, 17
286, 1F
287, F
290, 1F
293, F
297, 1F
300, F
303, 1F
306, F
308, 7
309, 17
311, 1F
312, F
315, 1F
318, F
322, 1F
325, F
328, 1F
331, F
333, 7
334, 17
336, 1F
337, F
340, 1F
344, F
347, 1F
350, F
353, 1F
356, F
358, 7
359, 17
361, 1F
362, F
366, 1F
369, F
372, 1F
375, F
378, 1F
381, F
383, 7
384, 17
386, 1F
387, F
391, 1F
394, F
397, 1F
400, F
403, 1F
406, F
408, 7
409, 17
411, 1F
413, F
416, 1F
419, F
422, 1F
425, F
428, 1F
431, F
433, 7
435, 17
436, 1F
438, F
441, 1F
444, F
447, 1F
450, F
453, 1F
456, F
458, 7
460, 17
461, 1F
463, F
466, 1F
469, F
472, 1F
475, F
478, 1F
482, F
483, 7
485, 17
486, 1F
488, F
491, 1F
494, F
497, 1F
500, F
504, 1F
507, F
508, 7
510, 17
511, 1F
513, F
516, 1F
519, F
522, 1F
525, F
529, 1F
532, F
533, 7
535, 17
537, 1F
538, F
541, 1F
544, F
547, 1F
551, F
554, 1F
557, F
558, 7
560, 17
562, 1F
563, F
566, 1F
569, F
573, 1F
576, F
579, 1F
582, F
584, 7
585, 17
587, 1F
588, F
591, 1F
594, F
598, 1F
601, F
604, 1F
607, F
609, 7
610, 17
612, 1F
613, F
616, 1F
620, F
623, 1F
626, F
629, 1F
632, F
634, 7
635, 17
637, 1F
638, F
642, 1F
645, F
648, 1F
651, F
654, 1F
657, F
659, 7
660, 17
662, 1F
663, F
667, 1F
670, F
673, 1F
676, F
679, 1F
682, F
684, 7
685, 17
687, 1F
689, F
692, 1F
695, F
698, 1F
701, F
704, 1F
707, F
709, 7
711, 17
712, 1F
714, F
717, 1F
720, F
723, 1F
726, F
729, 1F
732, F
734, 7
736, 17
737, 1F
739, F
742, 1F
745, F
748, 1F
751, F
754, 1F
758, F
759, 7
761, 17
762, 1F
764, F
767, 1F
770, F
773, 1F
776, F
780, 1F
783, F
784, 7
786, 17
787, 1F
789, F
792, 1F
795, F
798, 1F
801, F
805, 1F
808, F
809, 7
811, 17
812, 1F
814, F
817, 1F
820, F
823, 1F
827, F
830, 1F
833, F
834, 7
836, 17
838, 1F
839, F
842, 1F
845, F
849, 1F
852, F
855, 1F
858, F
859, 7
861, 17
863, 1F
864, F
867, 1F
870, F
874, 1F
877, F
880, 1F
883, F
885, 7
886, 17
888, 1F
889, F
892, 1F
896, F
899, 1F
902, F
905, 1F
908, F
910, 7
911, 17
913, 1F
914, F
918, 1F
921, F
924, 1F
927, F
930, 1F
933, F
935, 7
936, 17
938, 1F
939, F
943, 1F
946, F
949, 1F
952, F
955, 1F
958, F
960, 7
961, 17
963, 1F
965, F
968, 1F
971, F
974, 1F
977, F
980, 1F
983, F
985, 7
987, 17
988, 1F
990, F
993, 1F
996, F
999, 1F
1002, F
1005, 1F
1008, F
1010, 7
1012, 17
1013, 1F
1015, F
1018, 1F
1021, F
1024, 1F
1027, F
1030, 1F
1034, F
1035, 7
1037, 17
1038, 1F
1040, F
1043, 1F
1046, F
1049, 1F
1052, F
1056, 1F
1059, F
1060, 7
1062, 17
1063, 1F
1065, F
1068, 1F
1071, F
1074, 1F
1077, F
1081, 1F
1084, F
1085, 7
1087, 17
1089, 1F
1090, F
1093, 1F
1096, F
1099, 1F
1103, F
1106, 1F
1109, F
1110, 7
1112, 17
1114, 1F
1115, F
1118, 1F
1121, F
1125, 1F
1128, F
1131, 1F
1134, F
1136, 7
1137, 17
1139, 1F
1140, F
1143, 1F
1146, F
1150, 1F
1153, F
1156, 1F
1159, F
1161, 7
1162, 17
1164, 1F
1165, F
1168, 1F
1172, F
1175, 1F
1178, F
1181, 1F
1184, F
1186, 7
1187, 17
1189, 1F
1190, F
1194, 1F
1197, F
1200, 1F
1203, F
1206, 1F
1209, F
1211, 7
1212, 17
1214, 1F
1215, F
1219, 1F
1222, F
1225, 1F
1228, F
1231, 1F
1234, F
1236, 7
1237, 17
1239, 1F
1241, F
1244, 1F
1247, F
1250, 1F
1253, F
1256, 1F
1259, F
1261, 7
1263, 17
1264, 1F
1266, F
1269, 1F
